ID Num Propio,SMILES,Experimental Log BB,class
1,FC(F)(F)C1=C(Cl)N=C(C=C1)N1CCNCC1,1.64,0
2,CNC1CCC(C2=CC(Cl)=C(Cl)C=C2)C2=C1C=CC=C2,1.6,0
3,OCCN1CCN(CCCN2C3=CC(=CC=C3SC3=C2C=CC=C3)C(F)(F)F)CC1,1.51,0
4,CN1CCN(CCCN2C3=CC(=CC=C3SC3=C2C=CC=C3)C(F)(F)F)CC1,1.44,0
5,CN(C)CCCN1C2=CC(=CC=C2SC2=C1C=CC=C2)C(F)(F)F,1.44,0
6,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,1.4,0
7,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1,1.38,0
8,CCC(C)N1CCN(CC1)C1=CC=C(I)C=C1,1.38,0
9,CNCCCN1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2,1.37,0
10,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,1.34,0
11,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,1.26,0
12,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=CC=C2,1.23,0
13,CCC1=CC=CC(N\C(C)=N\C2=CC(CC)=CC=C2)=C1,1.2,0
14,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,1.15,0
15,O=C(CCC1CCN(CC2=CC=CC=C2)CC1)C1=CC2=C(CCCCN2)C=C1,1.14,0
16,I\C=C\CN1CCC(COC2=CC=C(C=C2)C#N)CC1,1.13,0
17,CNC(C)CC1CCCCC1,1.08,0
18,CN(C)CCCN1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2,1.06,0
19,CN1CCC2C(C1)C1=CC=CC=C1OC1=CC=C(Cl)C=C21,1.06,0
20,NCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,1.06,0
21,CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1,1.03,0
22,CCCCCCN1CCN(CC1)C1=CC=C(I)C=C1,1.01,0
23,CCC(C)CC,1.01,0
24,CC(C)(C)OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,1,0
25,CN1CCC2(C)C1N(C)C1=CC=C(OC(=O)NC3=CC=CC=C3)C=C21,1,0
26,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1,0
27,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21,0.99,0
28,IC1=C(CN2CCCCC2)C=C(CN2CCCCC2)C=C1,0.98,0
29,NCCCN1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2,0.97,0
30,CNC(C)CC1=CC=CC=C1,0.93,0
31,CC(N)CC1=CC=CC=C1,0.93,0
32,CC1CCCC1,0.93,0
33,CC\C(=C(\C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,0.92,0
34,C1CCCCC1,0.92,0
35,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,0.89,0
36,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,0.89,0
37,CCN(C)C(=O)OC1=CC(=CC=C1)C(C)N(C)C,0.88,0
38,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,0.85,0
39,CCCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(C)CC3)C2=C1,0.83,0
40,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,0.83,0
41,CN1CCC2(O)C(C1)C1=CC=CC(C)=C1OC1=CC=CC=C21,0.82,0
42,CCCCCCC,0.81,0
43,CCCCCC,0.8,0
44,COCCCC\C(=N\OCCN)C1=CC=C(C=C1)C(F)(F)F,0.79,0
45,CN1CCN(CC1)C1=C2C=C(C)SC2=NC2=CC=CC=C2N1,0.78,0
46,CCCCC,0.76,0
47,CSC1=CC=C2SC3=C(C=CC=C3)N(CCC3CCCCN3)C2=C1,0.75,0
48,CC1=NN=C2CN=C(C3=CC(Cl)=CC=C3N12)C1=C(Cl)C=CC=C1,0.74,0
49,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,0.72,0
50,C(CNC1=NC=CC=C1)COC1=CC(CN2CCCCC2)=CC=C1,0.69,0
51,CCCCCCCC,0.69,0
52,CC1N(CCC2=C1C=CC=C2)C1=NC(NC2=CC=C(F)C=C2)=NC(C)=C1C,0.68,0
53,CCCCCCCCCC,0.67,0
54,C1CNC2=C(C1)C=CC=C2,0.67,0
55,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0.64,0
56,CCC(C)NC1=CC(NC(C)CC)=C(I)C=C1,0.64,0
57,CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1,0.64,0
58,CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,0.64,0
59,OC(C1CCCCN1)C1=CC(=NC2=C(C=CC=C12)C(F)(F)F)C(F)(F)F,0.63,0
60,CC(C)C1=CC=CC(C(C)C)=C1O,0.63,0
61,OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,0.61,0
62,COC1=C(OC2CCCC2)C=C(C=C1)C1CNC(=O)C1,0.61,0
63,COC(=O)C1C2CCC(CC1OC(=O)C1=CC=CC=C1)N2C,0.6,0
64,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,0.59,0
65,C1CCN(CC1)C1(CCCCC1)C1=CC=CC=C1,0.58,0
66,CC(C)Br,0.56,0
67,COC1=CC=C2CC3[C@@H]4C=C[C@H](O)[C@@H]5OC1=C2C45CCN3C,0.55,0
68,CC(C)CCOC(C)=O,0.55,0
69,CN(C)C1=C(SC2=C(N)C=C(CCF)C=C2)C=CC=C1,0.55,0
70,CCCOC(=O)C1=CC=C(N)C=C1,0.54,0
71,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC(O)=C2,0.53,0
72,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CN=C21,0.53,0
73,CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1,0.52,0
74,CC1=CC=CC2=C1OC1=CC=CC=C1C1(O)CCNCC21,0.52,0
75,CCCCCCCCC,0.52,0
76,CC1C2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C,0.51,0
77,ClC1=CC=C2NC(=O)CN=C(C3=CC=CC=C3)C2=C1,0.5,0
78,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.49,0
79,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,0.49,0
80,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C1=C(Cl)C=CC=C1,0.48,0
81,CN1CN(C2=CC=CC=C2)C2(CCN(CCCC(=O)C3=CC=C(F)C=C3)CC2)C1=O,0.46,0
82,CC(C)COC(C)=O,0.45,0
83,C(CNC1=NC=CS1)COC1=CC(CN2CCCCC2)=CC=C1,0.44,0
84,OC1N=C(C2=CC(Cl)=CC=C2NC1=O)C1=C(Cl)C=CC=C1,0.44,0
85,CCCCOC(=O)C1=CC=C(N)C=C1,0.42,0
86,FC(F)OC(Cl)C(F)(F)F,0.42,0
87,NCCC1=NC=CS1,0.42,0
88,CC1CC2=C(CCC(=O)C2)C2CCC3(C)C(CCC3(O)C#C)C12,0.4,0
89,CC(Cl)(Cl)Cl,0.4,0
90,CCCCCOC(C)=O,0.4,0
91,CC(C)OC(C)=O,0.4,0
92,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,0.39,0
93,COC1=CC2=C(OCC2)C(CNC2CCCNC2C2=CC=CC=C2)=C1,0.39,0
94,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,0.39,0
95,ClC1=CC=C2OC3=CC=CC=C3C3CNCCC3C2=C1,0.39,0
96,ClC1=CC=C2OC3=CC=CC=C3C3CNCC3C2=C1,0.39,0
97,CN1CCCC1C1=CC=CN=C1,0.38,0
98,ClC(Cl)=C(Cl)Cl,0.37,0
99,CC1=C(C)C=CC=C1,0.37,0
100,CC1=CC=CC=C1,0.37,0
101,C1=CC=CC=C1,0.37,0
102,CC1=NC=C2CN=C(C3=CC(Cl)=CC=C3N12)C1=C(F)C=CC=C1,0.36,0
103,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.36,0
104,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,0.35,0
105,ClC1=CC2=C(NC(=O)CC(=O)N2C2=CC=CC=C2)C=C1,0.35,0
106,FC(F)(F)CC(Cl)Br,0.35,0
